OrderID,OrderDate,CustomerID,Region,Category,Quantity,UnitPrice,PaymentMethod,CustomerAge,Sales,OrderMonth,OrderYear,Weekday
1368,2024-07-23,291,North,Home & Kitchen,6,332.64,UPI,44.0,1995.84,2024-07,2024,Tuesday
2245,2023-04-30,68,West,Books,5,143.83,Credit Card,66.0,719.15,2023-04,2023,Sunday
2569,2023-02-09,62,North,Home & Kitchen,5,209.89,Wallet,51.0,1049.45,2023-02,2023,Thursday
2095,2024-09-18,188,West,Clothing,6,20.33,Wallet,55.0,121.98,2024-09,2024,Wednesday
1341,2023-01-17,269,East,Books,2,89.53,Wallet,44.0,179.06,2023-01,2023,Tuesday
2133,2024-02-09,250,West,Clothing,2,461.67,UPI,44.0,923.34,2024-02,2024,Friday
2951,2024-11-13,109,West,Electronics,6,496.44,Credit Card,37.0,2978.64,2024-11,2024,Wednesday
1984,2024-07-03,403,East,Clothing,3,250.35,Wallet,33.0,751.05,2024-07,2024,Wednesday
2517,2023-08-14,468,West,Sports,2,169.95,Wallet,57.0,339.9,2023-08,2023,Monday
2073,2023-09-11,74,West,Electronics,9,86.14,Credit Card,36.0,775.26,2023-09,2023,Monday
1861,2023-01-26,499,North,Sports,8,74.86,Debit Card,23.0,598.88,2023-01,2023,Thursday
1718,2024-03-25,483,West,Clothing,7,263.32,UPI,59.0,1843.24,2024-03,2024,Monday
1359,2023-04-26,259,North,Books,1,214.56,Debit Card,44.0,214.56,2023-04,2023,Wednesday
2725,2023-06-11,332,South,Clothing,3,273.71,UPI,44.0,821.13,2023-06,2023,Sunday
1641,2024-10-14,497,North,Home & Kitchen,1,497.76,Debit Card,68.0,497.76,2024-10,2024,Monday
2971,2024-03-10,416,South,Sports,2,427.55,Cash,50.0,855.1,2024-03,2024,Sunday
1752,2023-05-25,223,West,Electronics,4,82.83,Wallet,59.0,331.32,2023-05,2023,Thursday
1726,2023-05-26,415,West,Sports,5,108.66,UPI,40.0,543.3,2023-05,2023,Friday
1003,2023-09-28,428,South,Electronics,4,173.41,Debit Card,68.0,693.64,2023-09,2023,Thursday
1863,2023-01-08,88,West,Books,5,406.02,Debit Card,36.0,2030.1,2023-01,2023,Sunday
2693,2024-06-21,363,East,Electronics,3,441.52,Wallet,61.0,1324.56,2024-06,2024,Friday
2948,2023-09-14,431,East,Clothing,7,290.64,Debit Card,46.0,2034.48,2023-09,2023,Thursday
1998,2023-11-17,314,North,Home & Kitchen,2,182.13,UPI,67.0,364.26,2023-11,2023,Friday
2692,2024-07-23,106,East,Electronics,1,329.79,Debit Card,21.0,329.79,2024-07,2024,Tuesday
1260,2023-05-31,152,West,Home & Kitchen,9,144.92,UPI,31.0,1304.28,2023-05,2023,Wednesday
2803,2023-04-26,350,North,Books,3,111.02,Debit Card,44.0,333.06,2023-04,2023,Wednesday
1978,2023-05-20,376,West,Sports,6,63.64,UPI,63.0,381.84,2023-05,2023,Saturday
2615,2024-10-28,406,East,Home & Kitchen,9,384.05,UPI,44.0,3456.45,2024-10,2024,Monday
1803,2023-05-13,334,West,Sports,6,227.32,Wallet,26.0,1363.92,2023-05,2023,Saturday
1934,2023-10-04,243,West,Sports,9,62.07,Cash,36.0,558.63,2023-10,2023,Wednesday
1624,2023-11-23,423,South,Clothing,6,431.25,Credit Card,69.0,2587.5,2023-11,2023,Thursday
1416,2024-09-04,454,West,Clothing,4,274.72,Credit Card,43.0,1098.88,2024-09,2024,Wednesday
1109,2024-01-27,403,East,Home & Kitchen,2,24.21,Credit Card,33.0,48.42,2024-01,2024,Saturday
2260,2024-07-01,489,North,Home & Kitchen,1,390.29,Debit Card,30.0,390.29,2024-07,2024,Monday
1035,2024-05-25,414,North,Sports,5,30.91,Wallet,21.0,154.55,2024-05,2024,Saturday
1263,2024-09-02,60,South,Sports,3,85.28,Debit Card,30.0,255.84,2024-09,2024,Monday
2679,2024-11-17,190,West,Books,3,52.37,Credit Card,65.0,157.11,2024-11,2024,Sunday
1620,2023-12-08,138,South,Sports,1,59.13,Credit Card,68.0,59.13,2023-12,2023,Friday
2209,2023-07-13,330,North,Home & Kitchen,8,245.6,Credit Card,39.0,1964.8,2023-07,2023,Thursday
1420,2024-09-11,231,North,Books,1,362.57,Cash,34.0,362.57,2024-09,2024,Wednesday
1387,2024-06-08,158,North,Sports,4,26.72,UPI,68.0,106.88,2024-06,2024,Saturday
2038,2024-06-09,75,North,Home & Kitchen,1,200.41,Debit Card,23.0,200.41,2024-06,2024,Sunday
2028,2024-02-14,260,East,Home & Kitchen,7,132.56,Wallet,18.0,927.92,2024-02,2024,Wednesday
1919,2024-01-04,234,North,Home & Kitchen,7,292.81,Wallet,32.0,2049.67,2024-01,2024,Thursday
2334,2024-09-25,478,West,Sports,8,333.72,Debit Card,35.0,2669.76,2024-09,2024,Wednesday
2372,2024-05-15,133,North,Books,1,17.09,Debit Card,44.0,17.09,2024-05,2024,Wednesday
2496,2024-10-31,30,South,Books,8,226.43,Credit Card,18.0,1811.44,2024-10,2024,Thursday
2355,2024-09-14,412,West,Electronics,6,277.9,Wallet,31.0,1667.4,2024-09,2024,Saturday
2169,2023-06-10,218,West,Clothing,6,486.66,Debit Card,51.0,2919.96,2023-06,2023,Saturday
1612,2024-05-31,386,East,Clothing,5,222.54,Debit Card,36.0,1112.7,2024-05,2024,Friday
1790,2023-04-08,380,East,Clothing,9,23.99,Debit Card,47.0,215.91,2023-04,2023,Saturday
1572,2024-05-20,494,East,Clothing,9,71.43,Credit Card,58.0,642.87,2024-05,2024,Monday
1205,2024-01-21,459,South,Books,5,95.4,Wallet,34.0,477.0,2024-01,2024,Sunday
2051,2023-02-08,350,North,Home & Kitchen,7,357.48,Wallet,45.0,2502.36,2023-02,2023,Wednesday
1230,2023-07-22,173,North,Sports,5,9.54,Debit Card,25.0,47.7,2023-07,2023,Saturday
2974,2023-01-20,250,North,Home & Kitchen,3,14.43,Cash,53.0,43.29,2023-01,2023,Friday
2745,2023-12-15,158,East,Clothing,6,475.44,Credit Card,32.0,2852.64,2023-12,2023,Friday
1186,2024-10-10,494,South,Electronics,2,402.31,Cash,45.0,804.62,2024-10,2024,Thursday
1688,2023-01-12,203,South,Home & Kitchen,8,266.65,Wallet,47.0,2133.2,2023-01,2023,Thursday
1956,2023-01-04,405,South,Clothing,1,472.33,Debit Card,40.0,472.33,2023-01,2023,Wednesday
2946,2024-08-27,77,South,Books,9,295.16,Debit Card,40.0,2656.44,2024-08,2024,Tuesday
2462,2023-01-16,227,West,Books,1,402.52,UPI,62.0,402.52,2023-01,2023,Monday
1706,2024-05-16,449,West,Sports,4,292.49,Debit Card,37.0,1169.96,2024-05,2024,Thursday
2740,2023-01-27,8,North,Sports,7,211.98,Wallet,46.0,1483.86,2023-01,2023,Friday
1352,2023-12-15,230,West,Books,9,246.03,Credit Card,42.0,2214.27,2023-12,2023,Friday
1309,2024-05-18,125,North,Clothing,6,253.21,UPI,19.0,1519.26,2024-05,2024,Saturday
2830,2023-04-21,146,East,Sports,6,464.31,Debit Card,50.0,2785.86,2023-04,2023,Friday
1833,2024-02-07,392,North,Electronics,6,180.87,Credit Card,37.0,1085.22,2024-02,2024,Wednesday
1685,2023-09-16,232,East,Sports,5,227.55,Cash,32.0,1137.75,2023-09,2023,Saturday
1238,2024-05-25,277,South,Home & Kitchen,1,441.34,UPI,36.0,441.34,2024-05,2024,Saturday
1880,2024-06-09,108,South,Home & Kitchen,1,83.35,Debit Card,61.0,83.35,2024-06,2024,Sunday
1979,2024-07-12,254,South,Clothing,7,11.75,Wallet,25.0,82.25,2024-07,2024,Friday
2166,2023-06-29,69,North,Clothing,4,139.33,Cash,29.0,557.32,2023-06,2023,Thursday
2466,2024-03-25,302,South,Sports,3,470.78,Credit Card,40.0,1412.34,2024-03,2024,Monday
2560,2023-11-19,110,South,Books,4,103.55,UPI,44.0,414.2,2023-11,2023,Sunday
1682,2024-05-27,242,South,Clothing,4,332.68,Cash,67.0,1330.72,2024-05,2024,Monday
1913,2023-04-21,425,North,Sports,2,11.44,Credit Card,48.0,22.88,2023-04,2023,Friday
1825,2023-07-14,268,South,Electronics,2,340.67,Credit Card,27.0,681.34,2023-07,2023,Friday
1201,2024-03-17,132,South,Clothing,5,219.06,Debit Card,33.0,1095.3,2024-03,2024,Sunday
2757,2024-11-08,161,South,Books,9,431.86,UPI,46.0,3886.74,2024-11,2024,Friday
2500,2024-10-26,281,North,Books,4,82.38,Credit Card,44.0,329.52,2024-10,2024,Saturday
1141,2024-04-05,153,West,Sports,8,227.32,Wallet,55.0,1818.56,2024-04,2024,Friday
1597,2024-10-19,116,South,Sports,7,327.14,Cash,62.0,2289.98,2024-10,2024,Saturday
1038,2024-11-30,145,West,Home & Kitchen,7,426.49,UPI,47.0,2985.43,2024-11,2024,Saturday
2134,2023-12-12,363,South,Electronics,9,286.39,Wallet,65.0,2577.51,2023-12,2023,Tuesday
2211,2023-04-23,5,South,Books,1,75.21,Credit Card,44.0,75.21,2023-04,2023,Sunday
2491,2024-11-19,100,West,Home & Kitchen,2,70.64,Credit Card,21.0,141.28,2024-11,2024,Tuesday
1398,2023-04-02,144,East,Books,8,245.01,Credit Card,44.0,1960.08,2023-04,2023,Sunday
1821,2024-06-03,222,South,Home & Kitchen,6,441.15,Debit Card,36.0,2646.9,2024-06,2024,Monday
1059,2023-04-02,361,East,Home & Kitchen,1,320.88,Wallet,68.0,320.88,2023-04,2023,Sunday
2788,2024-08-10,118,North,Electronics,8,82.1,Credit Card,44.0,656.8,2024-08,2024,Saturday
2524,2024-07-28,124,North,Electronics,7,395.14,Debit Card,58.0,2765.98,2024-07,2024,Sunday
1896,2023-02-08,388,North,Clothing,6,144.86,Debit Card,35.0,869.16,2023-02,2023,Wednesday
1207,2023-04-23,351,West,Books,4,320.52,Debit Card,39.0,1282.08,2023-04,2023,Sunday
2986,2024-05-04,385,East,Books,8,111.06,Wallet,46.0,888.48,2024-05,2024,Saturday
1431,2024-10-31,114,North,Clothing,8,218.01,UPI,18.0,1744.08,2024-10,2024,Thursday
1301,2024-12-06,320,South,Sports,8,443.98,Cash,39.0,3551.84,2024-12,2024,Friday
1661,2024-07-09,436,South,Clothing,1,64.04,Wallet,55.0,64.04,2024-07,2024,Tuesday
2376,2023-01-17,477,North,Home & Kitchen,6,111.99,UPI,29.0,671.94,2023-01,2023,Tuesday
2785,2023-03-29,398,East,Books,5,227.21,Debit Card,69.0,1136.05,2023-03,2023,Wednesday
1413,2024-11-12,286,West,Books,4,313.16,UPI,18.0,1252.64,2024-11,2024,Tuesday
2114,2024-09-14,270,South,Sports,1,222.14,Cash,33.0,222.14,2024-09,2024,Saturday
1008,2024-09-06,126,North,Clothing,8,385.54,Cash,41.0,3084.32,2024-09,2024,Friday
1351,2023-10-07,264,West,Clothing,7,255.34,Debit Card,31.0,1787.38,2023-10,2023,Saturday
1722,2023-01-05,148,East,Electronics,1,363.83,Credit Card,59.0,363.83,2023-01,2023,Thursday
2011,2024-04-03,183,West,Electronics,9,231.33,Wallet,61.0,2081.97,2024-04,2024,Wednesday
2842,2023-05-07,354,North,Sports,6,333.74,UPI,50.0,2002.44,2023-05,2023,Sunday
1508,2023-06-17,436,East,Clothing,6,296.46,UPI,39.0,1778.76,2023-06,2023,Saturday
1021,2023-12-10,157,East,Clothing,9,450.88,Credit Card,18.0,4057.92,2023-12,2023,Sunday
1507,2024-02-21,381,West,Clothing,5,204.38,Debit Card,54.0,1021.9,2024-02,2024,Wednesday
2881,2023-12-30,419,East,Books,2,102.26,UPI,46.0,204.52,2023-12,2023,Saturday
2068,2024-07-03,320,South,Books,2,182.87,Credit Card,37.0,365.74,2024-07,2024,Wednesday
1587,2024-11-23,308,South,Sports,2,205.33,UPI,51.0,410.66,2024-11,2024,Saturday
1834,2023-01-05,302,North,Electronics,5,29.33,Debit Card,46.0,146.65,2023-01,2023,Thursday
1501,2024-06-28,270,East,Clothing,7,318.47,Debit Card,22.0,2229.29,2024-06,2024,Friday
2540,2024-06-04,161,West,Clothing,6,227.0,Cash,51.0,1362.0,2024-06,2024,Tuesday
2154,2023-03-16,405,South,Sports,3,118.89,Credit Card,18.0,356.67,2023-03,2023,Thursday
2814,2023-11-01,463,West,Electronics,2,171.78,Credit Card,45.0,343.56,2023-11,2023,Wednesday
2766,2024-12-17,84,South,Home & Kitchen,1,401.18,Cash,56.0,401.18,2024-12,2024,Tuesday
2818,2023-03-14,62,North,Electronics,4,115.36,Debit Card,44.0,461.44,2023-03,2023,Tuesday
2950,2023-10-03,401,West,Electronics,6,46.52,Wallet,36.0,279.12,2023-10,2023,Tuesday
1944,2024-10-25,132,East,Home & Kitchen,9,118.81,Debit Card,26.0,1069.29,2024-10,2024,Friday
1541,2023-04-09,349,West,Electronics,2,239.35,UPI,33.0,478.7,2023-04,2023,Sunday
1741,2024-06-01,350,North,Home & Kitchen,7,93.53,Cash,49.0,654.71,2024-06,2024,Saturday
2565,2023-11-28,255,West,Clothing,7,127.14,UPI,37.0,889.98,2023-11,2023,Tuesday
1397,2023-05-23,3,South,Clothing,5,196.19,UPI,46.0,980.95,2023-05,2023,Tuesday
2521,2024-07-24,63,North,Electronics,6,49.37,Credit Card,46.0,296.22,2024-07,2024,Wednesday
2059,2024-05-14,245,West,Home & Kitchen,8,88.57,UPI,58.0,708.56,2024-05,2024,Tuesday
2257,2023-05-27,270,North,Clothing,4,467.14,UPI,47.0,1868.56,2023-05,2023,Saturday
2793,2023-11-06,259,East,Electronics,1,251.5,Debit Card,23.0,251.5,2023-11,2023,Monday
1173,2023-08-19,271,West,Books,2,79.55,Credit Card,48.0,159.1,2023-08,2023,Saturday
2535,2024-05-31,424,East,Electronics,2,108.6,Wallet,54.0,217.2,2024-05,2024,Friday
2660,2023-08-10,441,South,Home & Kitchen,5,455.23,Credit Card,56.0,2276.15,2023-08,2023,Thursday
1515,2023-10-29,117,East,Clothing,6,166.08,Credit Card,37.0,996.48,2023-10,2023,Sunday
2929,2023-03-07,30,South,Electronics,9,240.93,Debit Card,44.0,2168.37,2023-03,2023,Tuesday
1621,2024-05-14,471,South,Sports,7,201.66,Cash,35.0,1411.62,2024-05,2024,Tuesday
2776,2024-06-27,447,West,Clothing,8,222.86,UPI,41.0,1782.88,2024-06,2024,Thursday
1052,2024-08-23,147,West,Books,5,109.09,UPI,69.0,545.45,2024-08,2024,Friday
1037,2024-04-20,466,West,Books,8,401.95,UPI,38.0,3215.6,2024-04,2024,Saturday
1780,2023-10-30,488,South,Sports,8,40.75,Debit Card,63.0,326.0,2023-10,2023,Monday
2296,2023-12-25,485,North,Electronics,9,30.87,Wallet,35.0,277.83,2023-12,2023,Monday
1654,2023-07-10,112,East,Sports,4,180.65,Credit Card,32.0,722.6,2023-07,2023,Monday
1218,2024-01-20,445,South,Books,6,158.37,UPI,45.0,950.22,2024-01,2024,Saturday
1285,2023-04-30,432,North,Home & Kitchen,4,412.27,UPI,44.0,1649.08,2023-04,2023,Sunday
2669,2024-06-07,237,West,Electronics,8,439.67,Wallet,33.0,3517.36,2024-06,2024,Friday
2754,2023-09-30,450,East,Clothing,2,15.1,Cash,20.0,30.2,2023-09,2023,Saturday
2278,2024-05-20,167,East,Sports,7,163.86,Wallet,49.0,1147.02,2024-05,2024,Monday
1831,2024-09-25,149,South,Sports,8,376.64,Wallet,42.0,3013.12,2024-09,2024,Wednesday
2333,2024-12-02,260,South,Books,1,191.74,Cash,58.0,191.74,2024-12,2024,Monday
1375,2023-06-04,300,East,Home & Kitchen,5,28.3,Debit Card,33.0,141.5,2023-06,2023,Sunday
1985,2023-05-19,159,South,Sports,1,213.45,Cash,37.0,213.45,2023-05,2023,Friday
1411,2023-11-01,321,West,Electronics,9,31.52,Cash,46.0,283.68,2023-11,2023,Wednesday
2997,2023-08-11,435,North,Clothing,2,284.95,Debit Card,44.0,569.9,2023-08,2023,Friday
2851,2023-05-02,23,East,Sports,4,378.06,UPI,28.0,1512.24,2023-05,2023,Tuesday
2331,2024-02-05,107,West,Clothing,1,206.67,Credit Card,44.0,206.67,2024-02,2024,Monday
1147,2024-04-29,463,West,Home & Kitchen,8,43.88,Wallet,21.0,351.04,2024-04,2024,Monday
1614,2023-06-14,219,North,Sports,4,204.81,Cash,61.0,819.24,2023-06,2023,Wednesday
2468,2023-06-19,484,South,Clothing,8,234.0,Credit Card,43.0,1872.0,2023-06,2023,Monday
2276,2023-02-22,227,South,Home & Kitchen,2,155.34,Cash,63.0,310.68,2023-02,2023,Wednesday
1361,2023-09-10,326,West,Home & Kitchen,7,223.98,Cash,59.0,1567.86,2023-09,2023,Sunday
2180,2024-11-19,425,North,Clothing,2,68.02,UPI,20.0,136.04,2024-11,2024,Tuesday
2165,2023-01-25,82,North,Sports,2,53.99,Debit Card,33.0,107.98,2023-01,2023,Wednesday
2890,2023-09-07,294,South,Electronics,4,14.71,Cash,32.0,58.84,2023-09,2023,Thursday
2829,2023-11-14,107,West,Clothing,9,288.83,Wallet,57.0,2599.47,2023-11,2023,Tuesday
1242,2023-05-04,26,East,Home & Kitchen,9,206.98,Debit Card,51.0,1862.82,2023-05,2023,Thursday
1493,2023-09-15,25,East,Books,1,425.55,UPI,29.0,425.55,2023-09,2023,Friday
2433,2024-05-12,381,East,Electronics,5,111.35,UPI,37.0,556.75,2024-05,2024,Sunday
2294,2023-08-25,297,West,Clothing,2,191.27,Cash,57.0,382.54,2023-08,2023,Friday
2764,2024-01-30,412,South,Sports,6,148.15,UPI,44.0,888.9,2024-01,2024,Tuesday
2339,2024-12-05,32,East,Electronics,2,83.04,Cash,44.0,166.08,2024-12,2024,Thursday
2864,2024-07-02,440,West,Sports,1,196.0,Wallet,63.0,196.0,2024-07,2024,Tuesday
2035,2023-10-23,47,North,Clothing,8,496.09,Credit Card,28.0,3968.72,2023-10,2023,Monday
2913,2023-11-30,45,North,Books,2,331.13,Wallet,67.0,662.26,2023-11,2023,Thursday
2651,2024-04-11,268,North,Books,9,246.03,Debit Card,60.0,2214.27,2024-04,2024,Thursday
2324,2023-10-14,220,North,Home & Kitchen,8,192.01,UPI,49.0,1536.08,2023-10,2023,Saturday
2152,2024-06-20,432,North,Electronics,6,401.67,UPI,22.0,2410.02,2024-06,2024,Thursday
2443,2023-09-30,454,West,Sports,9,304.53,Credit Card,19.0,2740.77,2023-09,2023,Saturday
1740,2024-02-09,261,North,Clothing,4,160.03,Debit Card,45.0,640.12,2024-02,2024,Friday
2878,2023-01-24,444,West,Home & Kitchen,9,66.17,Credit Card,32.0,595.53,2023-01,2023,Tuesday
1142,2024-11-21,12,East,Clothing,7,143.44,Cash,44.0,1004.08,2024-11,2024,Thursday
1566,2023-03-17,393,South,Books,7,109.3,Wallet,67.0,765.1,2023-03,2023,Friday
1869,2024-09-30,189,North,Home & Kitchen,7,43.96,Cash,43.0,307.72,2024-09,2024,Monday
2886,2024-11-19,126,East,Electronics,6,119.09,Debit Card,34.0,714.54,2024-11,2024,Tuesday
1838,2024-06-17,151,East,Home & Kitchen,13,271.0,Debit Card,56.0,3523.0,2024-06,2024,Monday
2892,2024-05-26,325,North,Clothing,5,263.96,Credit Card,48.0,1319.8,2024-05,2024,Sunday
2716,2023-10-30,395,North,Clothing,9,437.42,Cash,44.0,3936.78,2023-10,2023,Monday
2600,2023-05-27,301,North,Books,2,113.96,Debit Card,45.0,227.92,2023-05,2023,Saturday
2885,2024-07-15,475,North,Books,3,428.04,Credit Card,48.0,1284.12,2024-07,2024,Monday
2050,2023-04-14,113,East,Clothing,2,255.34,Debit Card,44.0,510.68,2023-04,2023,Friday
2428,2023-12-01,271,South,Home & Kitchen,2,19.03,Cash,59.0,38.06,2023-12,2023,Friday
2845,2023-01-12,195,South,Electronics,2,423.39,UPI,33.0,846.78,2023-01,2023,Thursday
1573,2024-01-02,371,North,Clothing,8,324.15,Credit Card,31.0,2593.2,2024-01,2024,Tuesday
2873,2023-07-26,47,West,Home & Kitchen,7,31.7,UPI,67.0,221.9,2023-07,2023,Wednesday
1695,2023-05-02,433,South,Sports,3,447.58,Credit Card,37.0,1342.74,2023-05,2023,Tuesday
2286,2024-12-27,197,East,Clothing,7,357.44,Credit Card,67.0,2502.08,2024-12,2024,Friday
1502,2024-11-21,321,West,Books,5,54.25,Credit Card,28.0,271.25,2024-11,2024,Thursday
1518,2023-02-04,405,East,Electronics,4,146.7,Cash,21.0,586.8,2023-02,2023,Saturday
2683,2023-08-15,380,South,Books,2,209.53,Debit Card,27.0,419.06,2023-08,2023,Tuesday
1557,2023-12-08,267,South,Electronics,5,158.27,Credit Card,68.0,791.35,2023-12,2023,Friday
1180,2024-09-19,334,East,Books,4,439.73,Cash,44.0,1758.92,2024-09,2024,Thursday
1439,2023-04-27,457,East,Home & Kitchen,8,20.45,Credit Card,54.0,163.6,2023-04,2023,Thursday
1489,2023-11-21,276,North,Home & Kitchen,5,438.3,Debit Card,64.0,2191.5,2023-11,2023,Tuesday
2477,2023-01-29,210,South,Books,9,21.25,Wallet,58.0,191.25,2023-01,2023,Sunday
2993,2023-08-05,111,East,Clothing,4,309.73,UPI,37.0,1238.92,2023-08,2023,Saturday
2119,2023-11-20,182,South,Electronics,9,420.12,Cash,48.0,3781.08,2023-11,2023,Monday
1354,2023-10-29,50,North,Home & Kitchen,2,448.07,Cash,21.0,896.14,2023-10,2023,Sunday
1300,2023-12-04,258,North,Electronics,1,244.09,Debit Card,44.0,244.09,2023-12,2023,Monday
2714,2024-08-26,494,West,Clothing,2,234.46,Wallet,23.0,468.92,2024-08,2024,Monday
2247,2024-03-27,372,South,Electronics,6,239.35,Debit Card,61.0,1436.1,2024-03,2024,Wednesday
1455,2024-12-04,342,East,Sports,7,100.93,Debit Card,44.0,706.51,2024-12,2024,Wednesday
1594,2023-06-12,178,North,Home & Kitchen,5,189.86,Debit Card,35.0,949.3,2023-06,2023,Monday
2448,2023-07-07,456,East,Books,6,429.59,Wallet,44.0,2577.54,2023-07,2023,Friday
1326,2024-03-13,494,West,Clothing,7,69.88,UPI,18.0,489.16,2024-03,2024,Wednesday
1072,2023-04-16,176,East,Home & Kitchen,4,338.14,Debit Card,38.0,1352.56,2023-04,2023,Sunday
1528,2024-09-17,128,West,Home & Kitchen,2,344.58,Debit Card,21.0,689.16,2024-09,2024,Tuesday
1769,2023-09-07,217,North,Books,6,16.82,Cash,45.0,100.92,2023-09,2023,Thursday
2402,2024-08-14,277,West,Home & Kitchen,4,39.47,Cash,56.0,157.88,2024-08,2024,Wednesday
2619,2023-05-13,38,West,Sports,7,94.7,Cash,37.0,662.9,2023-05,2023,Saturday
2904,2024-06-13,365,North,Home & Kitchen,2,474.13,Debit Card,20.0,948.26,2024-06,2024,Thursday
2611,2024-11-23,147,East,Home & Kitchen,9,127.73,Wallet,44.0,1149.57,2024-11,2024,Saturday
2922,2023-01-14,51,West,Clothing,1,74.62,Cash,51.0,74.62,2023-01,2023,Saturday
2969,2023-09-08,42,South,Sports,2,29.33,UPI,35.0,58.66,2023-09,2023,Friday
2138,2023-01-01,178,South,Books,1,246.03,Credit Card,18.0,246.03,2023-01,2023,Sunday
1730,2023-10-09,436,West,Sports,3,335.67,Wallet,19.0,1007.01,2023-10,2023,Monday
2090,2023-11-20,297,East,Clothing,9,440.05,Debit Card,61.0,3960.45,2023-11,2023,Monday
2489,2024-01-24,38,West,Books,9,83.48,Cash,27.0,751.32,2024-01,2024,Wednesday
2883,2024-06-15,495,West,Electronics,1,90.92,Cash,67.0,90.92,2024-06,2024,Saturday
1545,2024-10-24,60,West,Books,2,273.99,Cash,24.0,547.98,2024-10,2024,Thursday
1117,2023-01-28,291,East,Clothing,2,238.0,Wallet,53.0,476.0,2023-01,2023,Saturday
2694,2024-04-26,310,South,Books,1,246.03,Cash,67.0,246.03,2024-04,2024,Friday
2160,2024-06-12,142,South,Clothing,7,179.97,Debit Card,23.0,1259.79,2024-06,2024,Wednesday
1005,2023-03-13,340,West,Clothing,2,255.34,Cash,40.0,510.68,2023-03,2023,Monday
